Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
91	149.16667	432.4139	988.0	-359.0	747.3333	81.26592	36.503403	105.05022	-5.116769	460000	5.531311e-09	12206.07	-0.005872079	-7035.0317	0.22424392	0.019681577	0.0796	7.0	252.59807991981506
92	433.55554	425.2631	959.0	-56.0	532.0	9.326109	14.389524	53.346638	-6.3266134	465000	-2.0503998e-09	24968.979	-0.0064663943	-2394.211	0.3534994	0.014920545	0.0626	9.0	254.98826694488525
93	530.6923	511.1284	978.0	-486.0	366.6154	59.408787	40.62771	109.26195	-4.935804	470000	-5.102158e-09	48795.027	-0.0032044034	-3845.6328	0.7110814	0.00964895	0.0414	4.0	257.36999702453613
94	416.5	639.0676	973.0	-754.0	441.5	68.45358	28.340511	88.00104	-3.1234586	475000	9.727478e-09	32794.996	-0.008253358	-4536.664	0.5992857	0.019156095	0.1054	20.0	259.99940299987793
95	457.6	456.78293	993.0	-182.0	496.2	15.5494	27.648512	77.398865	-5.831261	480000	-5.0544738e-08	22999.467	-0.006544852	-2566.9355	0.36714193	0.015213446	0.0852	39.0	262.63360691070557
96	502.77777	507.82626	999.0	-219.0	467.22223	17.526182	29.877293	87.51628	-3.3124719	485000	2.965927e-08	19392.969	-0.008456645	-1894.4219	0.26978275	0.015529721	0.0788	23.0	265.26801681518555
97	436.81818	577.29474	978.0	-700.0	437.72726	26.022688	36.2003	89.46554	-2.6105661	490000	-6.67572e-08	33766.688	-0.009521945	-2483.1934	0.3338504	0.016687913	0.0828	20.0	268.052747964859
98	620.38464	455.64908	999.0	-118.0	350.0	29.454475	43.634468	99.89028	-0.96678114	495000	-4.5681e-08	33914.406	-0.00061942416	-1158.2715	0.41145468	0.025675433	0.2242	3.0	270.9276189804077
99	562.3077	552.5662	980.0	-530.0	348.07693	57.70622	52.273006	116.00208	0.7405503	500000	9.822846e-09	44171.387	-0.008253848	-992.6719	0.55088127	0.01613408	0.0628	38.0	273.82203483581543
100	675.0	423.53232	999.0	-137.0	294.25	34.943913	48.011505	110.955	0.34090257	505000	-7.0714954e-08	41453.523	-0.010654237	-3355.1797	0.43557274	0.010929562	0.0426	79.0	277.11688804626465
101	642.0625	475.7052	981.0	-297.0	308.1875	89.573944	34.97192	121.323975	11.034986	510000	8.773804e-09	52759.016	-0.0075421864	-3695.4219	0.5525574	0.013886017	0.1068	21.0	280.28286695480347
102	430.5	533.9457	997.0	-173.0	514.375	28.281569	45.215477	121.92804	3.533981	515000	1.373291e-07	13380.115	-0.0036918435	-2460.0068	0.38222367	0.012332902	0.0438	8.0	282.9816880226135
103	676.125	457.06573	992.0	-283.0	277.75	34.05623	55.15189	128.25574	-2.7396324	520000	1.1730194e-08	46293.46	-0.0076210727	-7316.3984	0.31878868	0.01986753	0.0778	14.0	285.54237389564514
104	637.2	514.06616	989.0	-515.0	306.26666	70.92211	82.549	175.26335	-1.9591267	525000	2.5081635e-08	45790.805	-0.0044115093	-1915.8398	0.5082456	0.022769794	0.115	6.0	287.9679629802704
105	337.2857	502.26593	982.0	-174.0	605.4286	49.041218	67.842735	170.72446	-2.5614097	530000	-8.106232e-09	15004.566	-0.006646825	-5521.2324	0.4388336	0.017891183	0.1064	13.0	290.4999189376831
